"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 26 06:52:59 UTC 2023","Thu Oct 26 06:53:19 UTC 2023","19071","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Oct 26 06:55:55 UTC 2023","Thu Oct 26 06:56:04 UTC 2023","8619","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Oct 26 07:03:38 UTC 2023","Thu Oct 26 07:03:39 UTC 2023","817","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Oct 26 07:03:03 UTC 2023","Thu Oct 26 07:03:07 UTC 2023","3870","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Oct 26 07:48:53 UTC 2023","Thu Oct 26 07:49:24 UTC 2023","31831","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Thu Oct 26 07:47:45 UTC 2023","Thu Oct 26 07:47:56 UTC 2023","10751","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Thu Oct 26 07:03:35 UTC 2023","Thu Oct 26 07:03:38 UTC 2023","2819","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Oct 26 06:59:44 UTC 2023","Thu Oct 26 07:00:24 UTC 2023","39474","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Oct 26 07:47:59 UTC 2023","Thu Oct 26 07:48:22 UTC 2023","22633","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Oct 26 07:03:07 UTC 2023","Thu Oct 26 07:03:35 UTC 2023","27745","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Oct 26 07:48:50 UTC 2023","Thu Oct 26 07:48:52 UTC 2023","2251","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Oct 26 07:49:27 UTC 2023","Thu Oct 26 07:49:28 UTC 2023","728","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Oct 26 06:54:11 UTC 2023","Thu Oct 26 06:54:20 UTC 2023","8067","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Thu Oct 26 06:53:45 UTC 2023","Thu Oct 26 06:54:05 UTC 2023","19587","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Oct 26 06:53:43 UTC 2023","Thu Oct 26 06:53:45 UTC 2023","2509","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Oct 26 06:59:42 UTC 2023","Thu Oct 26 06:59:44 UTC 2023","2838","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Oct 26 06:56:04 UTC 2023","Thu Oct 26 06:56:05 UTC 2023","703","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Oct 26 07:49:25 UTC 2023","Thu Oct 26 07:49:27 UTC 2023","2297","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Oct 26 07:47:25 UTC 2023","Thu Oct 26 07:47:45 UTC 2023","20276","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
